,주소,토지이용상황,공시지가
1064583,충청남도 청양군 대치면 작천리 30-1,답,25000
857730,충청남도 금산군 추부면 비례리 379-1,전,43600
1283904,충청남도 예산군 덕산면 복당리 492-17,전,15700
77897,충청남도 천안시 서북구 성거읍 모전리 201-2,전,75900
330156,충청남도 아산시 탕정면 호산리 32-9,전,225600
291186,충청남도 보령시 주교면 은포리 917-11,전,27700
1319799,충청남도 예산군 오가면 좌방리 508,답,18100
512125,충청남도 서산시 해미면 언암리 584,답,11200
1420411,충청남도 천안시 동남구 광덕면 원덕리 5,답,21400
1293994,충청남도 예산군 고덕면 몽곡리 200-3,전,24700
1194428,충청남도 홍성군 갈산면 상촌리 373,전,73900
1083626,충청남도 청양군 청남면 왕진리 562,답,15900
1009035,충청남도 서천군 한산면 나교리 163,전,17100
899394,충청남도 부여군 내산면 온해리 716-22,답,14100
459410,충청남도 서산시 팔봉면 어송리 455,답,14900
1332075,충청남도 태안군 태안읍 반곡리 629-5,전,22400
869813,충청남도 부여군 부여읍 자왕리 36,전,17200
30748,충청남도 천안시 동남구 북면 명덕리 132,답,21200
685621,충청남도 당진시 고대면 장항리 201,답,32600
814303,충청남도 금산군 군북면 호티리 217-3,전,18500
1166847,충청남도 홍성군 장곡면 행정리 171-5,전,14000
1251892,충청남도 예산군 신양면 여래미리 77,전,10900
494129,충청남도 서산시 운산면 와우리 533,전,15400
719862,충청남도 당진시 정미면 도산리 12-2,전,18100
296496,충청남도 아산시 방축동 35,전,66600
287452,충청남도 보령시 미산면 풍산리 202-3,답,12100
1372501,충청남도 태안군 남면 신장리 717,답,12600
273426,충청남도 보령시 남포면 양항리 638-2,답,12900
76951,충청남도 천안시 서북구 성거읍 오색당리 204,과수원,194600
1345258,충청남도 태안군 안면읍 승언리 1559-2,답,26100
1126175,충청남도 홍성군 광천읍 매현리 549-7,답,13600
1253883,충청남도 예산군 광시면 광시리 34-1,전,57100
1133723,충청남도 홍성군 홍북읍 내덕리 1-26,전,35000
38252,충청남도 천안시 동남구 성남면 대정리 285-4,답,33100
731278,충청남도 당진시 면천면 율사리 649,전,25600
995960,충청남도 서천군 화양면 월산리 330-4,답,13400
1199629,충청남도 홍성군 갈산면 기산리 293-1,전,27300
869878,충청남도 부여군 부여읍 자왕리 124-1,답,15700
675075,충청남도 당진시 송악읍 중흥리 485,답,78600
54854,충청남도 천안시 동남구 동면 동산리 33-3,답,26700
1144508,충청남도 홍성군 금마면 부평리 606,전,18200
287313,충청남도 보령시 미산면 풍산리 178-5,답,10500
1012227,충청남도 서천군 마산면 안당리 42-2,답,13400
224282,충청남도 보령시 웅천읍 노천리 251-2,전,18000
266390,충청남도 보령시 남포면 봉덕리 310,답,14900
1298762,충청남도 예산군 고덕면 상장리 791,답,14000
384994,충청남도 아산시 도고면 화천리 333-8,답,28900
1139181,충청남도 홍성군 홍북읍 신정리 511,전,19100
1415608,충청남도 태안군 이원면 관리 1169,전,17400
647308,충청남도 당진시 대덕동 8-2,전,46200
397913,충청남도 아산시 신창면 신곡리 120-5,전,27800
788673,충청남도 금산군 금성면 파초리 233,답,23000
677606,충청남도 당진시 송악읍 고대리 194-90,답,41300
193809,충청남도 공주시 사곡면 운암리 611-10,전,14700
1071643,충청남도 청양군 정산면 해남리 634-1,답,18100
643149,충청남도 당진시 우두동 106-6,답,32600
202591,충청남도 공주시 신풍면 백룡리 234,답,25700
637209,충청남도 논산시 채운면 장화리 743,답,14700
389217,충청남도 아산시 신창면 오목리 127-14,전,57000
930244,충청남도 부여군 양화면 원당리 506-2,답,13700
1293317,충청남도 예산군 고덕면 대천리 470-1,과수원,28200
860910,충청남도 금산군 추부면 성당리 124-1,전,33800
139020,충청남도 공주시 탄천면 대학리 227-1,전,19200
1313933,충청남도 예산군 신암면 오산리 426-2,답,20900
234224,충청남도 보령시 오천면 원산도리 1153,전,222500
249763,충청남도 보령시 청소면 재정리 67-3,전,14800
568601,충청남도 논산시 노성면 하도리 501-1,답,15900
684057,충청남도 당진시 고대면 슬항리 1179-8,답,17100
959050,충청남도 부여군 석성면 비당리 343,전,10900
207881,충청남도 보령시 동대동 165,답,120200
1343511,충청남도 태안군 안면읍 승언리 485,전,31800
328845,충청남도 아산시 탕정면 용두리 134-16,전,178500
1032856,충청남도 서천군 종천면 신검리 290-12,답,11400
129790,충청남도 공주시 이인면 신영리 145,답,33600
940657,충청남도 부여군 임천면 점리 1095,답,14900
1402347,충청남도 태안군 원북면 이곡리 270-3,전,19700
247630,충청남도 보령시 청소면 진죽리 544-2,답,33800
1358462,충청남도 태안군 안면읍 중장리 1182,전,43200
200244,충청남도 공주시 신풍면 쌍대리 652-5,전,14700
686405,충청남도 당진시 고대면 장항리 777-1,답,16700
786043,충청남도 금산군 금성면 화림리 332,전,14700
903131,충청남도 부여군 구룡면 죽절리 265-4,답,13000
78966,충청남도 천안시 서북구 성거읍 정촌리 216-10,과수원,90600
1265408,충청남도 예산군 대흥면 교촌리 527-1,전,27800
1234707,충청남도 예산군 대술면 화천리 205-3,답,17100
489144,충청남도 서산시 음암면 유계리 55,답,12400
109672,충청남도 공주시 유구읍 백교리 53,전,48800
436557,충청남도 서산시 부석면 가사리 64-2,답,12800
1007050,충청남도 서천군 한산면 죽촌리 151-5,전,18800
365410,충청남도 아산시 인주면 밀두리 259,전,212900
1248216,충청남도 예산군 신양면 귀곡리 111-1,전,31900
385971,충청남도 아산시 도고면 오암리 179-2,전,20600
1227887,충청남도 예산군 삽교읍 창정리 396-1,답,16500
641130,충청남도 계룡시 엄사면 도곡리 194-4,답,51000
806872,충청남도 금산군 부리면 불이리 137-9,답,14000
252785,충청남도 보령시 청소면 정전리 346-1,답,13200
1333143,충청남도 태안군 태안읍 평천리 117-10,전,19200
1130261,충청남도 홍성군 광천읍 월림리 391-1,답,14800
136802,충청남도 공주시 탄천면 송학리 131-2,전,20200
104078,충청남도 공주시 무릉동 280,전,62000
876606,충청남도 부여군 규암면 금암리 160,전,29500
178452,충청남도 공주시 우성면 상서리 68,전,38200
367822,충청남도 아산시 인주면 대음리 618,답,23200
167411,충청남도 공주시 정안면 북계리 139,전,28800
1204416,충청남도 홍성군 구항면 오봉리 117-3,답,26000
1353504,충청남도 태안군 안면읍 창기리 609,답,46300
50321,충청남도 천안시 동남구 병천면 봉항리 23,답,22900
694008,충청남도 당진시 고대면 진관리 659,답,40400
855459,충청남도 금산군 추부면 용지리 455-2,답,36200
50835,충청남도 천안시 동남구 병천면 봉항리 417-2,전,29200
507592,충청남도 서산시 해미면 동암리 18-1,답,21800
355829,충청남도 아산시 영인면 와우리 26-3,전,45300
64294,충청남도 천안시 서북구 성환읍 매주리 370-98,전,134500
536156,충청남도 논산시 연무읍 양지리 521-4,답,13200
940460,충청남도 부여군 임천면 점리 704,전,11600
239156,충청남도 보령시 천북면 학성리 776-1,답,34400
1225613,충청남도 예산군 삽교읍 상하리 188-4,답,24700
1345156,충청남도 태안군 안면읍 승언리 1475-3,전,127800
1002248,충청남도 서천군 기산면 두북리 102-4,전,17200
1015010,충청남도 서천군 마산면 삼월리 5,전,11100
1362612,충청남도 태안군 고남면 장곡리 97-5,전,22600
32206,충청남도 천안시 동남구 북면 사담리 169-4,답,31500
648897,충청남도 당진시 행정동 304-8,답,44800
1012063,충청남도 서천군 한산면 구동리 62-1,답,15100
598947,충청남도 논산시 연산면 백석리 176,전,32800
152833,충청남도 공주시 반포면 공암리 227-2,답,130300
592633,충청남도 논산시 연산면 화악리 589,답,29100
1167986,충청남도 홍성군 장곡면 천태리 514-20,전,13000
68769,충청남도 천안시 서북구 성환읍 어룡리 7-2,답,47200
123914,충청남도 공주시 이인면 목동리 253,답,20400
1136936,충청남도 홍성군 홍북읍 석택리 635-46,전,62000
419128,충청남도 서산시 대산읍 기은리 464-5,답,42000
403277,충청남도 서산시 수석동 231-18,전,106700
1324084,충청남도 예산군 오가면 신원리 241-3,전,30800
926135,충청남도 부여군 충화면 가화리 157-2,답,14500
1429195,충청남도 금산군 추부면 성당리 280-3,답,41800
779640,충청남도 금산군 금산읍 상리 342-9,전,88600
206462,충청남도 보령시 죽정동 506-2,답,68600
152285,충청남도 공주시 계룡면 유평리 429-7,답,22600
18734,충청남도 천안시 동남구 풍세면 용정리 328-4,전,86400
571669,충청남도 논산시 노성면 효죽리 345-2,답,17100
421485,충청남도 서산시 대산읍 운산리 4-16,전,15700
507457,충청남도 서산시 해미면 홍천리 647-2,답,14800
633695,충청남도 논산시 채운면 용화리 348,전,16500
1002073,충청남도 서천군 기산면 두남리 251,답,15300
605186,충청남도 논산시 벌곡면 수락리 104-3,전,14000
1215904,충청남도 예산군 예산읍 신례원리 242-8,전,60500
726714,충청남도 당진시 정미면 봉생리 478-1,답,16600
273453,충청남도 보령시 남포면 양항리 665-12,전,11800
602307,충청남도 논산시 연산면 신양리 63-76,전,54900
1341623,충청남도 태안군 태안읍 삭선리 802-2,답,12400
346457,충청남도 아산시 둔포면 신항리 451-2,전,49300
1074399,충청남도 청양군 정산면 내초리 111-1,전,11100
653339,충청남도 당진시 합덕읍 운산리 723,답,39100
98868,충청남도 공주시 금학동 82-1,전,89900
1183715,충청남도 홍성군 결성면 교항리 874-1,답,14300
313932,충청남도 아산시 배방읍 신흥리 31-5,답,56600
543357,충청남도 논산시 연무읍 신화리 1350-8,답,17400
1251064,충청남도 예산군 신양면 가지리 922-5,답,16600
411094,충청남도 서산시 오남동 404,답,49400
1316289,충청남도 예산군 오가면 원평리 369-2,답,16600
913773,충청남도 부여군 옥산면 홍연리 481,전,9230
356008,충청남도 아산시 영인면 구성리 16-1,전,58100
1100048,충청남도 청양군 남양면 봉암리 148-2,전,19000
762716,충청남도 당진시 신평면 운정리 504,답,40900
881097,충청남도 부여군 규암면 노화리 122-44,전,27100
684684,충청남도 당진시 고대면 대촌리 232,전,30200
771642,충청남도 당진시 송산면 부곡리 218-9,전,65900
1306228,충청남도 예산군 신암면 계촌리 366,답,16200
178744,충청남도 공주시 우성면 상서리 493-5,답,40300
358176,충청남도 아산시 영인면 창용리 844,답,26200
111790,충청남도 공주시 유구읍 유구리 485,전,45100
1168132,충청남도 홍성군 장곡면 천태리 700-1,답,14600
842373,충청남도 금산군 진산면 삼가리 375,전,1590
1057063,충청남도 청양군 운곡면 효제리 587,전,13600
453146,충청남도 서산시 부석면 간월도리 47-1,전,103000
1214138,충청남도 예산군 예산읍 관작리 152-1,전,64800
1378944,충청남도 태안군 남면 당암리 948-5,답,12500
1377853,충청남도 태안군 남면 당암리 6-2,전,88500
1001051,충청남도 서천군 기산면 신산리 28-5,전,17200
1031110,충청남도 서천군 판교면 복대리 327-1,전,10500
1230740,충청남도 예산군 삽교읍 하포리 873,답,16200
1400446,충청남도 태안군 소원면 송현리 795-4,전,19800
149790,충청남도 공주시 계룡면 금대리 246-2,답,22100
1210521,충청남도 홍성군 구항면 청광리 519-3,답,21400
1025490,충청남도 서천군 문산면 구동리 50-1,답,10500
1059397,충청남도 청양군 운곡면 신대리 759-2,답,17400
737172,충청남도 당진시 순성면 양유리 435-7,답,16900
929647,충청남도 부여군 양화면 오량리 536-5,답,13000
913541,충청남도 부여군 옥산면 홍연리 130-1,답,13800
760546,충청남도 당진시 신평면 신송리 230-6,답,16600
1163631,충청남도 홍성군 장곡면 오성리 532,답,12600
1072677,충청남도 청양군 정산면 대박리 184,전,13600
901307,충청남도 부여군 내산면 묘원리 174,답,12200
995763,충청남도 서천군 화양면 월산리 110-16,답,15100
24391,충청남도 천안시 동남구 광덕면 매당리 381-5,전,32100
980773,충청남도 서천군 서천읍 구암리 236-1,전,35300
1281350,충청남도 예산군 덕산면 광천리 108,전,19000
46450,충청남도 천안시 동남구 병천면 병천리 183,답,99700
520693,충청남도 서산시 고북면 남정리 567-20,전,23800
1238951,충청남도 예산군 대술면 궐곡리 27,답,17100
226816,충청남도 보령시 주포면 봉당리 600,답,16500
202547,충청남도 공주시 신풍면 백룡리 182-3,전,18000
322128,충청남도 아산시 송악면 외암리 171,전,44500
1121232,충청남도 홍성군 홍성읍 내법리 285-37,전,58800
576429,충청남도 논산시 상월면 석종리 56-12,답,20200
1117444,충청남도 홍성군 홍성읍 남장리 21-2,전,78600
1244493,충청남도 예산군 신양면 무봉리 572,답,18000
398317,충청남도 아산시 신창면 신곡리 576,답,19400
424277,충청남도 서산시 대산읍 운산리 2158,답,12400
909764,충청남도 부여군 홍산면 홍양리 5-7,답,15700
18358,충청남도 천안시 동남구 풍세면 용정리 116-6,전,40500
648914,충청남도 당진시 행정동 316-2,전,67100
544573,충청남도 논산시 연무읍 봉동리 817-2,답,16500
1234371,충청남도 예산군 삽교읍 월산리 40-1,전,42700
795187,충청남도 금산군 제원면 수당리 297-4,답,27200
379090,충청남도 아산시 선장면 가산리 480-1,전,26800
1076459,충청남도 청양군 정산면 광생리 339,전,11200
1246987,충청남도 예산군 신양면 불원리 748-75,전,23200
652864,충청남도 당진시 합덕읍 운산리 453-2,답,34700
880062,충청남도 부여군 규암면 합송리 169-1,답,16800
618413,충청남도 논산시 가야곡면 강청리 239-4,답,16200
116317,충청남도 공주시 유구읍 연종리 171,답,14300
28723,충청남도 천안시 동남구 북면 은지리 34-3,전,47900
1426901,충청남도 계룡시 엄사면 엄사리 13-20,전,202200
1347256,충청남도 태안군 안면읍 승언리 3044,답,67800
579278,충청남도 논산시 상월면 대명리 693-2,답,27500
158032,충청남도 공주시 반포면 학봉리 338-2,답,122100
1012138,충청남도 서천군 한산면 구동리 110-5,전,13600
130936,충청남도 공주시 탄천면 삼각리 353,답,21300
740903,충청남도 당진시 순성면 중방리 581-2,전,44100
650901,충청남도 당진시 사기소동 626-1,전,32600
1169694,충청남도 홍성군 장곡면 상송리 14-3,답,14300
1186201,충청남도 홍성군 서부면 광리 57-8,전,17300
685830,충청남도 당진시 고대면 장항리 423,답,27900
1168470,충청남도 홍성군 장곡면 산성리 404,답,13500
246535,충청남도 보령시 천북면 신죽리 568-2,답,18500
1040901,충청남도 서천군 비인면 남당리 329,전,12000
655987,충청남도 당진시 합덕읍 석우리 819,전,31300
125377,충청남도 공주시 이인면 초봉리 316-3,답,20300
748200,충청남도 당진시 우강면 공포리 3-7,답,17500
1100920,충청남도 청양군 화성면 산정리 292,전,15900
1326546,충청남도 태안군 태안읍 남문리 53-38,전,53500
306877,충청남도 아산시 염치읍 서원리 237-2,전,51200
1077816,충청남도 청양군 목면 신흥리 139,전,13400
468820,충청남도 서산시 지곡면 대요리 1031,답,11600
974536,충청남도 서천군 서천읍 군사리 1125,답,21500
366077,충청남도 아산시 인주면 문방리 103-1,답,86200
662817,충청남도 당진시 합덕읍 신흥리 77-28,답,20400
58353,충청남도 천안시 동남구 동면 수남리 469-5,답,26400
1104671,충청남도 청양군 화성면 수정리 200,전,8740
1421006,충청남도 천안시 서북구 성환읍 신방리 291,전,70500
648842,충청남도 당진시 행정동 266-2,전,53900
1353149,충청남도 태안군 안면읍 창기리 411-3,전,22200
1048384,충청남도 서천군 서면 도둔리 536-2,전,47300
1138179,충청남도 홍성군 홍북읍 갈산리 199-2,답,28500
840919,충청남도 금산군 진산면 엄정리 311-6,답,21700
1099366,충청남도 청양군 남양면 금정리 135-1,전,25900
873915,충청남도 부여군 규암면 반산리 369-5,답,22800
830373,충청남도 금산군 남일면 신천리 359-3,답,12300
750157,충청남도 당진시 우강면 신촌리 686,답,17100
1396458,충청남도 태안군 소원면 모항리 10,답,38300
703209,충청남도 당진시 석문면 교로리 346-2,전,78200
1075461,충청남도 청양군 정산면 학암리 133-7,전,15300
1229440,충청남도 예산군 삽교읍 용동리 187-16,전,32300
664586,충청남도 당진시 합덕읍 신석리 207-4,답,18600
862092,충청남도 금산군 추부면 서대리 159,과수원,32600
544504,충청남도 논산시 연무읍 봉동리 663-3,답,15000
504208,충청남도 서산시 해미면 황락리 29-6,전,27800
1388842,충청남도 태안군 근흥면 정죽리 1709-5,답,14000
951703,충청남도 부여군 세도면 청송리 164-2,답,11300
1151072,충청남도 홍성군 홍동면 운월리 484,전,16800
278673,충청남도 보령시 주산면 유곡리 141-3,답,12300
1406841,충청남도 태안군 원북면 신두리 1163,답,26900
406299,충청남도 서산시 석남동 563,답,86800
536904,충청남도 논산시 연무읍 마전리 422-3,답,15400
110264,충청남도 공주시 유구읍 노동리 55-1,답,8150
1016188,충청남도 서천군 마산면 이사리 118-2,답,13100
904147,충청남도 부여군 구룡면 논티리 66-2,전,16600
1027096,충청남도 서천군 판교면 마대리 13,답,14100
1311086,충청남도 예산군 신암면 중예리 424-5,답,15000
303347,충청남도 아산시 모종동 334-1,답,333200
1032163,충청남도 서천군 판교면 금덕리 167-3,전,7810
109291,충청남도 공주시 동현동 426,전,58800
719575,충청남도 당진시 정미면 대조리 97-3,답,13700
893701,충청남도 부여군 외산면 반교리 15,전,12500
1353688,충청남도 태안군 안면읍 창기리 790-3,답,42700
267218,충청남도 보령시 남포면 제석리 74,전,12500
472119,충청남도 서산시 지곡면 무장리 920-2,전,24000
1019817,충청남도 서천군 시초면 신곡리 178,전,13200
1220481,충청남도 예산군 삽교읍 평촌리 47-1,답,27400
195150,충청남도 공주시 사곡면 월가리 820,전,18100
1161761,충청남도 홍성군 장곡면 신풍리 724,전,11600
512600,충청남도 서산시 해미면 저성리 61,답,15900
790655,충청남도 금산군 금성면 의총리 415-3,전,16200
1360518,충청남도 태안군 안면읍 신야리 49-3,전,33100
927867,충청남도 부여군 충화면 만지리 990-1,답,9660
519632,충청남도 서산시 고북면 신정리 1490,답,12000
180377,충청남도 공주시 우성면 내산리 413-9,답,28700
744002,충청남도 당진시 순성면 갈산리 229-5,전,33500
222587,충청남도 보령시 웅천읍 황교리 385-1,전,16000
418127,충청남도 서산시 대산읍 오지리 473,전,23700
225774,충청남도 보령시 주포면 마강리 360-2,전,15000
1190839,충청남도 홍성군 서부면 남당리 187-8,답,22500
290457,충청남도 보령시 주교면 은포리 17,전,23600
1157877,충청남도 홍성군 홍동면 금당리 128-2,답,13000
367831,충청남도 아산시 인주면 대음리 627,답,22500
334241,충청남도 아산시 음봉면 신정리 38-4,답,48700
227046,충청남도 보령시 주포면 봉당리 786-1,전,17100
1131478,충청남도 홍성군 홍북읍 중계리 592-4,전,34700
180332,충청남도 공주시 우성면 내산리 400,답,30400
363218,충청남도 아산시 인주면 모원리 15-68,답,20600
130229,충청남도 공주시 이인면 신영리 396-14,답,30800
1304174,충청남도 예산군 고덕면 사리 793,답,15200
404369,충청남도 서산시 수석동 876,답,70900
638725,충청남도 계룡시 두마면 입암리 335,답,101100
36722,충청남도 천안시 동남구 성남면 봉양리 397-8,전,35000
882883,충청남도 부여군 은산면 신대리 559,답,17300
1330762,충청남도 태안군 태안읍 송암리 1157-2,답,12400
999337,충청남도 서천군 화양면 장상리 185-1,답,15200
216327,충청남도 보령시 웅천읍 수부리 203-2,답,13900
382144,충청남도 아산시 도고면 봉농리 456,답,17800
419314,충청남도 서산시 대산읍 기은리 595,전,43800
348357,충청남도 아산시 둔포면 신양리 432,답,32500
920898,충청남도 부여군 남면 회동리 241,전,12800
1021774,충청남도 서천군 문산면 신농리 117-1,답,14100
598933,충청남도 논산시 연산면 백석리 173,전,29600
179274,충청남도 공주시 우성면 도천리 46-1,답,27900
969695,충청남도 서천군 장항읍 성주리 527-46,전,8510
793915,충청남도 금산군 제원면 제원리 273-1,답,32200
676839,충청남도 당진시 송악읍 한진리 11-1,전,177400
203430,충청남도 공주시 신풍면 선학리 218,답,15200
1025828,충청남도 서천군 문산면 구동리 455,답,8670
221169,충청남도 보령시 웅천읍 독산리 773-26,전,117500
637500,충청남도 논산시 채운면 야화리 152-6,답,15600
1300841,충청남도 예산군 고덕면 구만리 593-8,전,25000
588680,충청남도 논산시 부적면 신교리 189,답,20900
325136,충청남도 아산시 송악면 송학리 69,전,27200
1032528,충청남도 서천군 판교면 금덕리 591,답,11300
711924,충청남도 당진시 대호지면 적서리 645-2,답,13400
389306,충청남도 아산시 신창면 오목리 177-5,전,41900
831949,충청남도 금산군 남이면 하금리 752,전,2890
1035337,충청남도 서천군 종천면 장구리 504,전,23200
366409,충청남도 아산시 인주면 문방리 292,전,40400
1397959,충청남도 태안군 소원면 파도리 179,전,26000
655773,충청남도 당진시 합덕읍 석우리 672-42,전,27600
1397162,충청남도 태안군 소원면 모항리 517-4,전,81900
1333103,충청남도 태안군 태안읍 평천리 86-2,답,14900
1094284,충청남도 청양군 남양면 백금리 667,답,5460
676536,충청남도 당진시 송악읍 부곡리 385-13,전,116100
754385,충청남도 당진시 신평면 금천리 381-11,전,147200
239856,충청남도 보령시 천북면 사호리 352-28,답,15700
803880,충청남도 금산군 부리면 창평리 60-1,답,20300
754324,충청남도 당진시 신평면 금천리 319-2,전,224000
708447,충청남도 당진시 석문면 초락도리 1603,답,15900
1016569,충청남도 서천군 마산면 나궁리 2-3,답,10100
473311,충청남도 서산시 성연면 일람리 510-2,전,25700
53316,충청남도 천안시 동남구 동면 송연리 122-1,답,34200
146711,충청남도 공주시 계룡면 하대리 588-1,전,20000
642905,충청남도 당진시 채운동 789-2,전,104700
1244454,충청남도 예산군 신양면 무봉리 533,답,18000
16659,충청남도 천안시 동남구 풍세면 두남리 116,전,29400
159450,충청남도 공주시 의당면 두만리 174,전,14900
1047341,충청남도 서천군 서면 신합리 579-1,답,24000
98327,충청남도 공주시 웅진동 652-5,전,81400
517344,충청남도 서산시 고북면 신상리 57-1,전,81300
1171307,충청남도 홍성군 은하면 유송리 151,답,11900
1344686,충청남도 태안군 안면읍 승언리 1290-11,전,236200
897145,충청남도 부여군 내산면 운치리 207-4,답,14900
866598,충청남도 부여군 부여읍 가증리 38-3,전,19400
685126,충청남도 당진시 고대면 대촌리 612-2,답,29700
1168463,충청남도 홍성군 장곡면 산성리 397,답,13500
840558,충청남도 금산군 진산면 엄정리 36-4,전,14900
1354351,충청남도 태안군 안면읍 창기리 1244,전,68700
372877,충청남도 아산시 선장면 군덕리 370,답,17600
706533,충청남도 당진시 석문면 초락도리 441-1,답,27500
728088,충청남도 당진시 면천면 성하리 215-1,전,37300
206460,충청남도 보령시 죽정동 503-2,답,76900
261823,충청남도 보령시 청라면 황룡리 1234,전,11100
878446,충청남도 부여군 규암면 외리 334-2,답,30700
471969,충청남도 서산시 지곡면 무장리 637,답,15800
148107,충청남도 공주시 계룡면 경천리 99-1,전,23300
1192446,충청남도 홍성군 서부면 양곡리 361-1,전,15400
285174,충청남도 보령시 미산면 옥현리 455-2,전,12000
598650,충청남도 논산시 연산면 장전리 751-2,답,23600
1230547,충청남도 예산군 삽교읍 하포리 228-1,답,20600
14523,충청남도 천안시 동남구 풍세면 풍서리 435-2,답,34900
581386,충청남도 논산시 상월면 한천리 54,전,20800
436542,충청남도 서산시 부석면 가사리 62-13,답,12800
970554,충청남도 서천군 장항읍 화천리 353-104,전,31600
292906,충청남도 보령시 주교면 고정리 126,답,21400
1294166,충청남도 예산군 고덕면 몽곡리 445,답,22800
455365,충청남도 서산시 팔봉면 양길리 481-2,답,15400
518079,충청남도 서산시 고북면 신상리 915,전,14400
871413,충청남도 부여군 부여읍 신정리 520,답,14400
1189816,충청남도 홍성군 서부면 어사리 190-7,답,15000
538303,충청남도 논산시 연무읍 고내리 367-1,전,16900
53326,충청남도 천안시 동남구 동면 송연리 137-6,답,31100
373022,충청남도 아산시 선장면 군덕리 447,전,38200
1270175,충청남도 예산군 응봉면 지석리 283,전,16400
356001,충청남도 아산시 영인면 구성리 15-3,전,25900
53971,충청남도 천안시 동남구 동면 화계리 216-4,답,29600
122683,충청남도 공주시 이인면 신흥리 14,전,18400
200685,충청남도 공주시 신풍면 청흥리 265-1,답,16600
844062,충청남도 금산군 진산면 읍내리 67,전,36700
851981,충청남도 금산군 복수면 백암리 109-6,전,12700
195973,충청남도 공주시 사곡면 유룡리 647,답,12600
30381,충청남도 천안시 동남구 북면 매송리 566-1,전,54200
1203292,충청남도 홍성군 갈산면 대사리 107-5,전,17800
574804,충청남도 논산시 상월면 월오리 6-6,답,21500
467482,충청남도 서산시 지곡면 도성리 567,전,20000
36143,충청남도 천안시 동남구 성남면 신덕리 566-2,답,28200
34633,충청남도 천안시 동남구 북면 운용리 416-2,답,25000
1323973,충청남도 예산군 오가면 신원리 15-7,답,15600
418258,충청남도 서산시 대산읍 오지리 618-8,답,30100
366667,충청남도 아산시 인주면 문방리 534-11,답,29000
1300605,충청남도 예산군 고덕면 구만리 455-8,답,14000
762743,충청남도 당진시 신평면 운정리 555,답,53000
521200,충청남도 서산시 고북면 남정리 1218,답,12000
